Molecule_Name,CYP2D6_is_TDI,CYP2D6_TDI,CYP2D6_direct,CYP3A4_is_TDI,CYP3A4_TDI,CYP3A4_direct
OCNT-0454255,,,,False,6.351,
OCNT-0454257,,,,False,6.427,
OCNT-0454261,,,,False,7.265,
OCNT-0454263,,,,False,5.987,
OCNT-0454287,,,,False,6.834,
OCNT-0454289,,,,False,6.888,
OCNT-0454291,,,,False,7.468,
OCNT-0454320,,,,False,5.834,
OCNT-0454326,,,,False,4.739,
OCNT-0454333,,,,False,4.681,
OCNT-0454371,,,,False,5.099,
OCNT-0454403,,,,False,4.307,
OCNT-0454415,,,,False,3.624,
OCNT-0454435,,,,False,5.013,
OCNT-0454445,,,,False,5.259,
OCNT-0454454,,,,False,2.243,
OCNT-0454455,,,,False,4.783,
OCNT-0454477,,,,False,5.807,
OCNT-0454515,,,,False,1.912,
OCNT-0454517,,,,False,5.671,
OCNT-0454518,,,,False,4.834,
OCNT-0454521,,,,False,4.933,
OCNT-0454524,,,,False,3.994,
OCNT-0454527,,,,False,4.123,
OCNT-0454529,,,,False,5.815,
OCNT-0454548,,,,False,5.147,
OCNT-0454552,,,,False,4.742,
OCNT-0454587,,,,False,4.222,
OCNT-0454594,,,,False,3.193,
OCNT-0454595,,,,False,5.194,
OCNT-0454602,,,,False,5.676,
OCNT-0454608,,,,False,6.284,
OCNT-0454617,,,,False,4.437,
OCNT-0454626,,,,False,5.221,
OCNT-0454634,,,,False,5.661,
OCNT-0454638,,,,False,5.583,
OCNT-0454672,,,,False,5.749,
OCNT-0454674,,,,False,5.799,
OCNT-0454676,,,,False,5.401,
OCNT-0454695,,,,False,2.164,
OCNT-0454696,,,,False,4.379,
OCNT-0454702,,,,False,5.299,
OCNT-0454708,,,,False,2.026,
OCNT-0454710,,,,False,4.935,
OCNT-0454717,,,,False,4.439,
OCNT-0454721,,,,False,4.808,
OCNT-0454725,,,,False,4.575,
OCNT-0454730,,,,False,4.222,
OCNT-0454732,,,,False,4.804,
OCNT-0454734,,,,False,5.263,
OCNT-0454780,,,,False,6.986,
OCNT-0454781,,,,False,6.212,
OCNT-0454784,,,,False,4.171,
OCNT-0454835,,,,False,5.796,
OCNT-0454840,,,,False,4.887,
OCNT-0454842,,,,False,5.131,
OCNT-0454845,,,,False,6.05,
OCNT-0454847,,,,False,4.346,
OCNT-0454848,,,,False,1.981,
OCNT-0454851,,,,False,5.919,
OCNT-0454857,,,,False,4.207,
OCNT-0454859,,,,False,4.812,
OCNT-0454862,,,,False,4.786,
OCNT-0454864,,,,False,2.425,
OCNT-0454866,,,,False,3.903,
OCNT-0454868,,,,False,4.013,
OCNT-0454869,,,,False,4.027,
OCNT-0454870,,,,False,1.951,
OCNT-0454871,,,,False,3.474,
OCNT-0454872,,,,False,5.862,
OCNT-0454876,,,,False,5.356,
OCNT-0454879,,,,False,4.894,
OCNT-0454884,,,,False,5.444,
OCNT-0454888,,,,False,5.153,
OCNT-0454889,,,,False,5.767,
OCNT-0454892,,,,False,5.449,
OCNT-0454894,,,,False,2.023,
OCNT-0454895,,,,False,5.664,
OCNT-0454896,,,,False,5.439,
OCNT-0454897,,,,False,3.366,
OCNT-0454898,,,,False,4.801,
OCNT-0454899,,,,False,2.685,
OCNT-0454900,,,,False,5.977,
OCNT-0454901,,,,False,2.899,
OCNT-0454902,,,,False,5.629,
OCNT-0454903,,,,False,3.201,
OCNT-0454906,,,,False,1.906,
OCNT-0454908,,,,False,6.615,
OCNT-0454910,,,,False,6.125,
OCNT-0454912,,,,False,5.698,
OCNT-0454916,,,,False,4.713,
OCNT-0454918,,,,False,6.959,
OCNT-0454921,,,,False,5.224,
OCNT-0454922,,,,False,5.244,
OCNT-0454923,,,,False,5.987,
OCNT-0454929,,,,False,5.812,
OCNT-0454931,,,,False,6.107,
OCNT-0454932,,,,False,5.017,
OCNT-0454936,,,,False,6.051,
OCNT-0454939,,,,False,4.123,
OCNT-0454970,,,,False,5.745,
OCNT-0454980,,,,False,6.319,
OCNT-0454987,,,,False,4.505,
OCNT-0454989,,,,False,4.995,
OCNT-0454990,,,,False,5.787,
OCNT-0454991,,,,False,4.433,
OCNT-0454997,,,,False,4.865,
OCNT-0455003,,,,False,5.766,
OCNT-0455007,,,,False,5.448,
OCNT-0455012,,,,False,5.795,
OCNT-0455046,,,,False,4.48,
OCNT-0455051,,,,False,4.537,
OCNT-0455055,,,,False,5.144,
OCNT-0455058,,,,False,4.979,
OCNT-0455070,,,,False,6.325,
OCNT-0455078,,,,False,5.733,
OCNT-0455082,,,,False,4.861,
OCNT-0455084,,,,False,4.269,
OCNT-0455086,,,,False,4.614,
OCNT-0455088,,,,False,5.898,
OCNT-0455090,,,,False,4.653,
OCNT-0455094,,,,False,4.057,
OCNT-0455100,,,,False,4.753,
OCNT-0455102,,,,False,5.609,
OCNT-0455116,,,,False,5.553,
OCNT-0455118,,,,False,6.131,
OCNT-0455120,,,,False,4.664,
OCNT-0455122,,,,False,4.395,
OCNT-0455126,,,,False,6.448,
OCNT-0455147,,,,False,1.946,
OCNT-0455834,,,,False,4.192,
OCNT-0455853,,,,False,6.022,
OCNT-0455855,,,,False,5.899,
OCNT-0455861,,,,False,5.902,
OCNT-0455932,,,,False,3.957,
OCNT-0455940,,,,False,4.944,
OCNT-0455964,,,,False,5.418,
OCNT-0455988,,,,False,4.945,
OCNT-0455990,,,,False,4.845,
OCNT-0456010,,,,False,5.385,
OCNT-0456012,,,,False,5.407,
OCNT-0456014,,,,False,5.327,
OCNT-0456016,,,,False,4.284,
OCNT-0456022,,,,False,5.12,
OCNT-0456054,,,,False,6.058,
OCNT-0456140,,,,False,6.215,
OCNT-0456142,,,,False,6.396,
OCNT-0456144,,,,False,6.551,
OCNT-0456158,,,,False,5.716,
OCNT-0456160,,,,False,5.559,
OCNT-0456162,,,,False,5.491,
OCNT-0456166,,,,False,5.362,
OCNT-0456180,,,,False,6.248,
OCNT-0456186,,,,False,6.989,
OCNT-0456188,,,,False,4.903,
OCNT-0456192,,,,False,6.495,
OCNT-0456204,,,,False,5.88,
OCNT-0456206,,,,False,6.799,
OCNT-0456208,,,,False,6.861,
OCNT-0456212,,,,False,7.057,
OCNT-0456220,,,,False,6.577,
OCNT-0456226,,,,False,6.014,
OCNT-0456228,,,,False,6.041,
OCNT-0456230,,,,False,5.918,
OCNT-0456234,,,,False,6.246,
OCNT-0456250,,,,False,5.394,
OCNT-0456252,,,,False,5.237,
OCNT-0456258,,,,False,6.047,
OCNT-0456259,,,,False,5.225,
OCNT-0456282,,,,False,6.815,
OCNT-0456289,,,,False,6.717,
OCNT-0456298,,,,False,4.588,
OCNT-0456304,,,,False,4.545,
OCNT-0456306,,,,False,4.67,
OCNT-0456310,,,,False,5.842,
OCNT-0456312,,,,False,3.617,
OCNT-0456315,,,,False,5.889,
OCNT-0456319,,,,False,5.699,
OCNT-0456321,,,,False,6.8,
OCNT-0456328,,,,False,5.895,
OCNT-0456349,,,,False,4.392,
OCNT-0456376,,,,False,7.083,
OCNT-0456378,,,,False,5.167,
OCNT-0456380,,,,False,5.095,
OCNT-0456384,,,,False,3.895,
OCNT-0456386,,,,False,4.923,
OCNT-0456388,,,,False,5.644,
OCNT-0456473,,,,False,4.614,
OCNT-0456479,,,,False,5.295,
OCNT-0456507,,,,False,6.122,
OCNT-0456571,,,,False,4.515,
OCNT-0456667,,,,False,4.128,
OCNT-0456671,,,,False,4.628,
OCNT-0456677,,,,False,5.49,
OCNT-0456761,,,,False,2.209,
OCNT-0456763,,,,False,5.76,
OCNT-0456785,,,,False,4.854,
OCNT-0456791,,,,False,4.989,
OCNT-0456809,,,,False,4.529,
OCNT-0456810,,,,False,2.247,
OCNT-0456811,,,,False,4.48,
OCNT-0456812,,,,False,2.344,
OCNT-0456813,,,,False,5.011,
OCNT-0456815,,,,False,5.733,
OCNT-0456864,,,,False,6.775,
OCNT-0456866,,,,False,6.568,
OCNT-0456880,,,,False,4.583,
OCNT-0456890,,,,False,5.78,
OCNT-0456894,,,,False,5.937,
OCNT-0456896,,,,False,5.127,
OCNT-0456898,,,,False,6.428,
OCNT-0456928,,,,False,6.061,
OCNT-0456930,,,,False,6.493,
OCNT-0456952,,,,False,5.731,
OCNT-0456954,,,,False,6.211,
OCNT-0456958,,,,False,6.158,
OCNT-0456960,,,,False,5.873,
OCNT-0456962,,,,False,6.402,
OCNT-0456964,,,,False,5.846,
OCNT-0456966,,,,False,6.092,
OCNT-0456976,,,,False,5.321,
OCNT-0456978,,,,False,5.622,
OCNT-0456984,,,,False,6.657,
OCNT-0456986,,,,False,5.663,
OCNT-0456988,,,,False,5.584,
OCNT-0456990,,,,False,5.917,
OCNT-0457008,,,,False,6.668,
OCNT-0457009,,,,False,5.19,
OCNT-0457012,,,,False,4.889,
OCNT-0457040,,,,False,4.632,
OCNT-0457042,,,,False,5.028,
OCNT-0457077,,,,False,6.026,
OCNT-0457081,,,,False,5.514,
OCNT-0457204,,,,False,4.81,
OCNT-0457236,,,,False,3.93,
OCNT-0457347,,,,False,6.094,
OCNT-0457413,,,,False,3.733,
OCNT-0457419,,,,False,5.046,
OCNT-0457420,,,,False,4.68,
OCNT-0457422,,,,False,3.126,
OCNT-0457426,,,,False,6.201,
OCNT-0457465,,,,False,4.991,
OCNT-0457529,,,,False,5.622,
OCNT-0457541,,,,False,2.034,
OCNT-0457554,,,,False,6.093,
OCNT-0457571,,,,False,4.744,
OCNT-0457573,,,,False,5.627,
OCNT-0457579,,,,False,5.69,
OCNT-0457587,,,,False,4.82,
OCNT-0457601,,,,False,4.862,
OCNT-0457613,,,,False,6.253,
OCNT-0457615,,,,False,6.407,
OCNT-0457627,,,,False,4.645,
OCNT-0457630,,,,False,5.025,
OCNT-0457633,,,,False,5.596,
OCNT-0457635,,,,False,5.292,
OCNT-0457647,,,,False,2.057,
OCNT-0457656,,,,False,5.108,
OCNT-0457658,,,,False,5.843,
OCNT-0457679,,,,False,4.11,
OCNT-0457698,,,,False,2.037,
OCNT-0457712,,,,False,6.39,
OCNT-0457715,,,,False,3.785,
OCNT-0457739,,,,False,5.137,
OCNT-0457748,,,,False,4.994,
OCNT-0457772,,,,False,4.854,
OCNT-0457777,,,,False,5.683,
OCNT-0457791,,,,False,5.282,
OCNT-0457802,,,,False,5.343,
OCNT-0457821,,,,False,5.87,
OCNT-0457829,,,,False,5.97,
OCNT-0457842,,,,False,5.408,
OCNT-0457845,,,,False,6.435,
OCNT-0457878,,,,False,6.101,
OCNT-0457895,,,,False,6.869,
OCNT-0457908,,,,False,5.464,
OCNT-0457919,,,,False,6.419,
OCNT-0457930,,,,False,6.559,
OCNT-0457966,,,,False,6.82,
OCNT-0457980,,,,False,4.492,
OCNT-0457982,,,,False,6.339,
OCNT-0457984,,,,False,5.261,
OCNT-0457986,,,,False,4.815,
OCNT-0458015,,,,False,5.432,
OCNT-0458020,,,,False,3.385,
OCNT-0458025,,,,False,5.692,
OCNT-0458027,,,,False,1.931,
OCNT-0458074,,,,False,1.941,
OCNT-0458076,,,,False,4.873,
OCNT-0458078,,,,False,5.094,
OCNT-0458184,,,,False,6.858,
OCNT-0458275,,,,False,6.186,
OCNT-0458309,,,,False,4.545,
OCNT-0458336,,,,False,6.149,
OCNT-0458364,,,,False,4.992,
OCNT-0458388,,,,False,5.038,
OCNT-0458390,,,,False,2.815,
OCNT-0458394,,,,False,4.871,
OCNT-0458398,,,,False,4.288,
OCNT-0458408,,,,False,5.449,
OCNT-0458432,,,,False,5.945,
OCNT-0458447,,,,False,6.627,
OCNT-0458448,,,,False,4.886,
OCNT-0458450,,,,False,5.555,
OCNT-0458456,,,,False,5.057,
OCNT-0458458,,,,False,5.414,
OCNT-0458462,,,,False,5.534,
OCNT-0458485,,,,False,5.441,
OCNT-0458500,,,,False,6.405,
OCNT-0458511,,,,False,5.992,
OCNT-0458524,,,,False,5.069,
OCNT-0458549,,,,False,5.805,
OCNT-0458556,,,,False,2.011,
OCNT-0458566,,,,False,4.573,
OCNT-0458586,,,,False,4.932,
OCNT-0458590,,,,False,4.342,
OCNT-0458642,,,,False,6.19,
OCNT-0458648,,,,False,4.16,
OCNT-0458649,,,,False,4.802,
OCNT-0458654,,,,False,5.399,
OCNT-0458656,,,,False,5.209,
OCNT-0458658,,,,False,4.514,
OCNT-0458660,,,,False,6.748,
OCNT-0458661,,,,False,5.251,
OCNT-0458662,,,,False,6.043,
OCNT-0459973,,,,False,4.407,
OCNT-0459975,,,,False,5.575,
OCNT-0460157,,,,False,5.99,
OCNT-0460159,,,,False,5.387,
OCNT-0460161,,,,False,5.222,
OCNT-0460163,,,,False,5.007,
OCNT-0460165,,,,False,5.381,
OCNT-0460167,,,,False,4.338,
OCNT-0460175,,,,False,5.5,
OCNT-0460177,,,,False,4.339,
OCNT-0460185,,,,False,5.565,
OCNT-0460203,,,,False,5.397,
OCNT-0460205,,,,False,5.674,
OCNT-0460207,,,,False,5.623,
OCNT-0460225,,,,False,4.423,
OCNT-0460227,,,,False,4.167,
OCNT-0460287,,,,False,5.345,
OCNT-0460293,,,,False,6.391,
OCNT-0460299,,,,False,3.916,
OCNT-0460301,,,,False,5.15,
OCNT-0460303,,,,False,5.674,
OCNT-0460305,,,,False,4.815,
OCNT-0460307,,,,False,5.439,
OCNT-0460309,,,,False,5.727,
OCNT-0460315,,,,False,5.953,
OCNT-0460317,,,,False,6.492,
OCNT-0460331,,,,False,5.614,
OCNT-0460333,,,,False,3.68,
OCNT-0460335,,,,False,3.792,
OCNT-0460345,,,,False,5.779,
OCNT-0460349,,,,False,5.075,
OCNT-0460353,,,,False,6.6,
OCNT-0460379,,,,False,5.921,
OCNT-0460381,,,,False,5.186,
OCNT-0460385,,,,False,2.556,
OCNT-0460409,,,,False,5.659,
OCNT-0460411,,,,False,5.482,
OCNT-0460413,,,,False,4.58,
OCNT-0460492,,,,False,6.951,
OCNT-0460603,,,,False,4.331,
OCNT-0460612,,,,False,5.128,
OCNT-0460614,,,,False,5.187,
OCNT-0460632,,,,False,5.08,
OCNT-0460634,,,,False,5.966,
OCNT-0460635,,,,False,5.771,
OCNT-0460636,,,,False,3.765,
OCNT-0460639,,,,False,5.463,
OCNT-0460653,,,,False,4.852,
OCNT-0460655,,,,False,4.407,
OCNT-0460657,,,,False,5.699,
OCNT-0460664,,,,False,3.923,
OCNT-0460665,,,,False,5.547,
OCNT-0460669,,,,False,3.292,
OCNT-0460673,,,,False,4.473,
OCNT-0460689,,,,False,6.527,
OCNT-0460691,,,,False,6.876,
OCNT-0460695,,,,False,5.515,
OCNT-0460702,,,,False,4.794,
OCNT-0460704,,,,False,6.404,
OCNT-0460706,,,,False,5.483,
OCNT-0460708,,,,False,5.784,
OCNT-0460710,,,,False,5.87,
OCNT-0460713,,,,False,6.122,
OCNT-0460718,,,,False,2.061,
OCNT-0460745,,,,False,5.998,
OCNT-0460757,,,,False,6.164,
OCNT-0460770,,,,False,6.119,
OCNT-0460775,,,,False,4.091,
OCNT-0460797,,,,False,5.565,
OCNT-0460810,,,,False,5.423,
OCNT-0460815,,,,False,5.625,
OCNT-0460825,,,,False,4.328,
OCNT-0460827,,,,False,5.185,
OCNT-0460829,,,,False,5.701,
OCNT-0460831,,,,False,5.829,
OCNT-0460832,,,,False,5.786,
OCNT-0460859,,,,False,4.889,
OCNT-0460867,,,,False,4.712,
OCNT-0460891,,,,False,4.989,
OCNT-0460895,,,,False,5.992,
OCNT-0460901,,,,False,1.975,
OCNT-0460907,,,,False,5.379,
OCNT-0460909,,,,False,5.32,
OCNT-0461259,,,,False,6.062,
OCNT-0461261,,,,False,4.143,
OCNT-0461263,,,,False,4.04,
OCNT-0461265,,,,False,3.87,
OCNT-0461271,,,,False,5.024,
OCNT-0461289,,,,False,5.016,
OCNT-0461290,,,,False,4.814,
OCNT-0461291,,,,False,4.451,
OCNT-0461293,,,,False,6.284,
OCNT-0461295,,,,False,4.299,
OCNT-0461297,,,,False,4.709,
OCNT-0461299,,,,False,5.819,
OCNT-0461301,,,,False,5.109,
OCNT-0461303,,,,False,6.39,
OCNT-0461319,,,,False,4.546,
OCNT-0461321,,,,False,4.523,
OCNT-0461327,,,,False,4.68,
OCNT-0461353,,,,False,5.224,
OCNT-0461355,,,,False,5.393,
OCNT-0461364,,,,False,4.055,
OCNT-0461371,,,,False,6.594,
OCNT-0461373,,,,False,1.945,
OCNT-0461396,,,,False,5.476,
OCNT-0461397,,,,False,5.9,
OCNT-0461404,,,,False,4.783,
OCNT-0461411,,,,False,6.087,
OCNT-0461413,,,,False,1.971,
OCNT-0461426,,,,False,4.8,
OCNT-0461465,,,,False,5.345,
OCNT-0461469,,,,False,5.876,
OCNT-0461480,,,,False,3.643,
OCNT-0461485,,,,False,5.359,
OCNT-0461487,,,,False,3.644,
OCNT-0461492,,,,False,4.14,
OCNT-0461495,,,,False,6.015,
OCNT-0461497,,,,False,6.254,
OCNT-0461509,,,,False,6.451,
OCNT-0461511,,,,False,5.406,
OCNT-0461513,,,,False,3.98,
OCNT-0461519,,,,False,4.606,
OCNT-0461521,,,,False,6.268,
OCNT-0461538,,,,False,5.174,
OCNT-0461539,,,,False,5.768,
OCNT-0461553,,,,False,6.161,
OCNT-0461556,,,,False,5.5,
OCNT-0461558,,,,False,4.441,
OCNT-0461571,,,,False,6.033,
OCNT-0461577,,,,False,3.956,
OCNT-0461591,,,,False,4.775,
OCNT-0461594,,,,False,2.09,
OCNT-0461611,,,,False,4.21,
OCNT-0461620,,,,False,6.049,
OCNT-0461621,,,,False,5.646,
OCNT-0461622,,,,False,6.754,
OCNT-0461635,,,,False,5.553,
OCNT-0461639,,,,False,4.667,
OCNT-0461640,,,,False,4.251,
OCNT-0461641,,,,False,5.82,
OCNT-0461642,,,,False,4.97,
OCNT-0461644,,,,False,6.272,
OCNT-0461646,,,,False,5.156,
OCNT-0461652,,,,False,5.734,
OCNT-0461654,,,,False,5.499,
OCNT-0461660,,,,False,5.724,
OCNT-0461669,,,,False,3.956,
OCNT-0461674,,,,False,6.11,
OCNT-0461675,,,,False,4.809,
OCNT-0461676,,,,False,6.408,
OCNT-0461677,,,,False,5.225,
OCNT-0461679,,,,False,2.07,
OCNT-0461680,,,,False,5.285,
OCNT-0461681,,,,False,5.677,
OCNT-0461682,,,,False,4.683,
OCNT-0461684,,,,False,5.189,
OCNT-0461685,,,,False,1.994,
OCNT-0461686,,,,False,4.591,
OCNT-0461710,,,,False,5.87,
OCNT-0461714,,,,False,4.619,
OCNT-0461716,,,,False,3.96,
OCNT-0461718,,,,False,5.599,
OCNT-0461724,,,,False,4.809,
OCNT-0461725,,,,False,5.599,
OCNT-0461726,,,,False,6.969,
OCNT-0461728,,,,False,5.152,
OCNT-0461730,,,,False,2.001,
OCNT-0461736,,,,False,2.018,
OCNT-0461738,,,,False,6.875,
OCNT-0461740,,,,False,5.713,
OCNT-0461744,,,,False,5.05,
OCNT-0461748,,,,False,5.469,
OCNT-0461750,,,,False,4.087,
OCNT-0461753,,,,False,6.044,
OCNT-0461755,,,,False,5.231,
OCNT-0461758,,,,False,6.321,
OCNT-0461760,,,,False,6.428,
OCNT-0461763,,,,False,5.545,
OCNT-0461766,,,,False,5.895,
OCNT-0461767,,,,False,6.092,
OCNT-0461770,,,,False,5.535,
OCNT-0461772,,,,False,6.229,
OCNT-0461774,,,,False,4.27,
OCNT-0461788,,,,False,4.473,
OCNT-0461790,,,,False,5.914,
OCNT-0461792,,,,False,5.895,
OCNT-0461794,,,,False,6.39,
OCNT-0461796,,,,False,6.127,
OCNT-0461798,,,,False,6.41,
OCNT-0461808,,,,False,5.892,
OCNT-0461810,,,,False,6.397,
OCNT-0461812,,,,False,5.411,
OCNT-0461813,,,,False,5.2,
OCNT-0461815,,,,False,5.629,
OCNT-0461825,,,,False,6.171,
OCNT-0461834,,,,False,5.148,
OCNT-0461836,,,,False,4.175,
OCNT-0461838,,,,False,5.951,
OCNT-0461839,,,,False,5.226,
OCNT-0461841,,,,False,5.533,
OCNT-0461843,,,,False,4.642,
OCNT-0461847,,,,False,5.361,
OCNT-0461851,,,,False,6.681,
OCNT-0461853,,,,False,1.931,
OCNT-0461855,,,,False,5.759,
OCNT-0461857,,,,False,5.301,
OCNT-0461861,,,,False,6.42,
OCNT-0461863,,,,False,5.384,
OCNT-0461867,,,,False,5.064,
OCNT-0461871,,,,False,5.251,
OCNT-0461873,,,,False,4.733,
OCNT-0461875,,,,False,3.165,
OCNT-0461878,,,,False,5.567,
OCNT-0462528,,,,False,5.157,
OCNT-0462530,,,,False,5.301,
OCNT-0462531,,,,False,4.794,
OCNT-0462535,,,,False,6.684,
OCNT-0462537,,,,False,5.164,
OCNT-0462545,,,,False,5.403,
OCNT-0462546,,,,False,6.868,
OCNT-0462547,,,,False,5.584,
OCNT-0462553,,,,False,5.693,
OCNT-0462555,,,,False,6.559,
OCNT-0462557,,,,False,4.977,
OCNT-0462565,,,,False,5.385,
OCNT-0462570,,,,False,6.423,
OCNT-0462589,,,,False,5.227,
OCNT-0462595,,,,False,5.165,
OCNT-0462596,,,,False,4.625,
OCNT-0462599,,,,False,5.177,
OCNT-0462601,,,,False,5.732,
OCNT-0462603,,,,False,5.544,
OCNT-0462633,,,,False,5.752,
OCNT-0462641,,,,False,4.961,
OCNT-0462643,,,,False,4.953,
OCNT-0462644,,,,False,6.455,
OCNT-0462672,,,,False,6.32,
OCNT-0462676,,,,False,5.561,
OCNT-0462677,,,,False,3.252,
OCNT-0462710,,,,False,5.87,
OCNT-0462732,,,,False,6.172,
OCNT-0462736,,,,False,5.526,
OCNT-0462764,,,,False,2.018,
OCNT-0462783,,,,False,4.882,
OCNT-0462787,,,,False,5.109,
OCNT-0462789,,,,False,5.633,
OCNT-0462791,,,,False,4.011,
OCNT-0462804,,,,False,6.087,
OCNT-0462806,,,,False,4.656,
OCNT-0462809,,,,False,4.458,
OCNT-0462811,,,,False,5.268,
OCNT-0462813,,,,False,5.363,
OCNT-0462815,,,,False,4.73,
OCNT-0462817,,,,False,5.473,
OCNT-0462819,,,,False,5.667,
OCNT-0462821,,,,False,4.66,
OCNT-0462823,,,,False,5.129,
OCNT-0462828,,,,False,5.064,
OCNT-0462830,,,,False,6.695,
OCNT-0462877,,,,False,5.92,
OCNT-0462881,,,,False,5.837,
OCNT-0462890,,,,False,2.041,
OCNT-0462899,,,,False,5.355,
OCNT-0462905,,,,False,5.197,
OCNT-0462907,,,,False,5.78,
OCNT-0462914,,,,False,2.0,
OCNT-0462915,,,,False,5.087,
OCNT-0462917,,,,False,4.942,
OCNT-0462937,,,,False,4.449,
OCNT-0462939,,,,False,5.015,
OCNT-0462941,,,,False,3.767,
OCNT-0462943,,,,False,4.139,
OCNT-0462954,,,,False,5.758,
OCNT-0462960,,,,False,6.548,
OCNT-0462966,,,,False,5.703,
OCNT-0462986,,,,False,6.403,
OCNT-0462988,,,,False,6.126,
OCNT-0462990,,,,False,5.251,
OCNT-0462992,,,,False,6.435,
OCNT-0462994,,,,False,5.721,
OCNT-0463027,,,,False,5.598,
OCNT-0463042,,,,False,3.355,
OCNT-0463068,,,,False,5.568,
OCNT-0463084,,,,False,4.341,
OCNT-0463085,,,,False,6.35,
OCNT-0463087,,,,False,5.665,
OCNT-0463091,,,,False,4.828,
OCNT-0463093,,,,False,4.528,
OCNT-0463109,,,,False,6.655,
OCNT-0463117,,,,False,2.472,
OCNT-0463121,,,,False,5.173,
OCNT-0463132,,,,False,4.596,
OCNT-0463136,,,,False,6.184,
OCNT-0463147,,,,False,6.315,
OCNT-0463159,,,,False,4.091,
OCNT-0463200,,,,False,5.26,
OCNT-0463205,,,,False,5.996,
OCNT-0463240,,,,False,5.905,
OCNT-0463259,,,,False,5.341,
OCNT-0463268,,,,False,6.489,
OCNT-0463282,,,,False,5.616,
OCNT-0463293,,,,False,4.228,
OCNT-0463305,,,,False,6.859,
OCNT-0463306,,,,False,5.552,
OCNT-0463322,,,,False,6.632,
OCNT-0463381,,,,False,5.12,
OCNT-0463418,,,,False,4.469,
OCNT-0463426,,,,False,5.29,
OCNT-0463436,,,,False,5.335,
OCNT-0463446,,,,False,6.108,
OCNT-0463463,,,,False,6.011,
OCNT-0463468,,,,False,6.234,
OCNT-0475000,,,,False,4.483,
OCNT-0475002,,,,False,4.595,
OCNT-0475003,,,,False,4.691,
OCNT-0475004,,,,False,5.37,
OCNT-0475006,,,,False,5.109,
OCNT-0475010,,,,False,5.715,
OCNT-0475034,,,,False,5.293,
OCNT-0475039,,,,False,6.837,
OCNT-0475040,,,,False,4.821,
OCNT-0475042,,,,False,4.956,
OCNT-0475044,,,,False,4.496,
OCNT-0475045,,,,False,1.988,
OCNT-0475046,,,,False,4.917,
OCNT-0475056,,,,False,5.621,
OCNT-0475057,,,,False,4.852,
