Molecule_Name,OCNT_ID,pEC50
OADMET-0005976,OCNT-2317913,5.0
OADMET-0005975,OCNT-2317900,4.71
OADMET-0005974,OCNT-2317864,4.06
OADMET-0005973,OCNT-2317860,4.68
OADMET-0005972,OCNT-2317855,5.11
OADMET-0005971,OCNT-2317838,4.68
OADMET-0005970,OCNT-2317836,4.46
OADMET-0005969,OCNT-2317832,4.57
OADMET-0005968,OCNT-2317821,3.85
OADMET-0005967,OCNT-2317809,5.2
OADMET-0005966,OCNT-2317796,4.34
OADMET-0005965,OCNT-2317766,5.07
OADMET-0005964,OCNT-2317751,5.22
OADMET-0005963,OCNT-2317749,5.0
OADMET-0005962,OCNT-2317738,4.51
OADMET-0005961,OCNT-2317727,4.61
OADMET-0005960,OCNT-2317722,4.42
OADMET-0005959,OCNT-2317714,4.53
OADMET-0005958,OCNT-2317696,5.09
OADMET-0005957,OCNT-2317690,5.31
OADMET-0005956,OCNT-2317688,4.45
OADMET-0005955,OCNT-2317686,4.87
OADMET-0005954,OCNT-2317678,4.91
OADMET-0005953,OCNT-2317677,5.52
OADMET-0005952,OCNT-2317675,5.03
OADMET-0005951,OCNT-2317663,4.8
OADMET-0005950,OCNT-2317662,4.83
OADMET-0005949,OCNT-2317660,5.28
OADMET-0005948,OCNT-2317655,5.04
OADMET-0005947,OCNT-2317645,5.18
OADMET-0005946,OCNT-2317637,5.06
OADMET-0005945,OCNT-2317629,5.26
OADMET-0005944,OCNT-2317626,5.24
OADMET-0005943,OCNT-2317625,5.0
OADMET-0005942,OCNT-2317620,4.41
OADMET-0005941,OCNT-2317599,5.07
OADMET-0005940,OCNT-2317597,5.22
OADMET-0005939,OCNT-2317591,4.44
OADMET-0005938,OCNT-2317589,4.82
OADMET-0005937,OCNT-2317584,4.89
OADMET-0005936,OCNT-2317572,4.97
OADMET-0005935,OCNT-2317558,4.49
OADMET-0005934,OCNT-2317555,5.25
OADMET-0005933,OCNT-2317554,5.18
OADMET-0005932,OCNT-2317552,4.94
OADMET-0005931,OCNT-2317547,5.21
OADMET-0005930,OCNT-2317545,5.19
OADMET-0005929,OCNT-2317533,5.38
OADMET-0005928,OCNT-2317518,4.44
OADMET-0005927,OCNT-2317512,4.63
OADMET-0005926,OCNT-2317500,5.25
OADMET-0005925,OCNT-2317498,4.02
OADMET-0005924,OCNT-2317468,4.48
OADMET-0005923,OCNT-2317454,5.53
OADMET-0005922,OCNT-2317450,4.26
OADMET-0005921,OCNT-2317449,4.6
OADMET-0005920,OCNT-2317443,5.41
OADMET-0005919,OCNT-2317427,4.54
OADMET-0005918,OCNT-2317420,4.77
OADMET-0005917,OCNT-2317403,4.67
OADMET-0005916,OCNT-2317384,4.64
OADMET-0005915,OCNT-2317366,4.67
OADMET-0005914,OCNT-2317361,3.92
OADMET-0005913,OCNT-2317358,4.48
OADMET-0005912,OCNT-2317347,5.1
OADMET-0005911,OCNT-2317344,5.23
OADMET-0005910,OCNT-2317339,4.57
OADMET-0005909,OCNT-2317338,4.77
OADMET-0005908,OCNT-2317335,4.87
OADMET-0005907,OCNT-2317334,4.83
OADMET-0005906,OCNT-2317315,4.89
OADMET-0005905,OCNT-2317292,4.67
OADMET-0005904,OCNT-2317286,4.39
OADMET-0005903,OCNT-2317280,4.38
OADMET-0005902,OCNT-2317274,4.73
OADMET-0005901,OCNT-2317273,4.26
OADMET-0005900,OCNT-2317271,4.45
OADMET-0005899,OCNT-2317265,4.59
OADMET-0005898,OCNT-2317251,4.15
OADMET-0005897,OCNT-2317250,4.75
OADMET-0005896,OCNT-2317244,4.86
OADMET-0005895,OCNT-2317238,5.25
OADMET-0005894,OCNT-2317237,4.71
OADMET-0005893,OCNT-2317235,5.01
OADMET-0005892,OCNT-2317228,5.1
OADMET-0005891,OCNT-2317224,5.11
OADMET-0005890,OCNT-2317208,4.09
OADMET-0005889,OCNT-2317204,4.76
OADMET-0005888,OCNT-2317202,4.98
OADMET-0005887,OCNT-2317201,5.02
OADMET-0005886,OCNT-2317200,4.58
OADMET-0005885,OCNT-2317197,5.17
OADMET-0005884,OCNT-2317188,5.04
OADMET-0005883,OCNT-2317181,4.56
OADMET-0005882,OCNT-2317180,4.07
OADMET-0005881,OCNT-2317174,4.68
OADMET-0005880,OCNT-2317169,5.19
OADMET-0005879,OCNT-2317161,4.22
OADMET-0005878,OCNT-2317146,4.99
OADMET-0005877,OCNT-2317141,4.44
OADMET-0005876,OCNT-2317125,4.72
OADMET-0005875,OCNT-2317123,4.95
OADMET-0005874,OCNT-2317122,5.65
OADMET-0005873,OCNT-2317107,4.38
OADMET-0005872,OCNT-2317096,5.48
OADMET-0005871,OCNT-2317084,5.37
OADMET-0005870,OCNT-2317077,4.88
OADMET-0005869,OCNT-2317074,4.47
OADMET-0005868,OCNT-2317072,4.43
OADMET-0005867,OCNT-2317048,4.47
OADMET-0005866,OCNT-2317040,4.48
OADMET-0005865,OCNT-2317032,5.2
OADMET-0005864,OCNT-2317023,4.77
OADMET-0005863,OCNT-2317016,4.69
OADMET-0005862,OCNT-2317009,4.89
OADMET-0005861,OCNT-2316995,4.63
OADMET-0005860,OCNT-2316987,4.36
OADMET-0005859,OCNT-2316981,4.4
OADMET-0005858,OCNT-2316967,5.29
OADMET-0005857,OCNT-2316953,5.06
OADMET-0005856,OCNT-2316948,5.04
OADMET-0005855,OCNT-2316940,4.48
OADMET-0005854,OCNT-2316919,3.96
OADMET-0005853,OCNT-2316909,4.06
OADMET-0005852,OCNT-2316893,4.73
OADMET-0005851,OCNT-2316882,4.34
OADMET-0005850,OCNT-2316875,4.07
OADMET-0005849,OCNT-2316873,4.42
OADMET-0005848,OCNT-2316839,4.41
OADMET-0005847,OCNT-2316836,5.21
OADMET-0005846,OCNT-2316818,4.61
OADMET-0005845,OCNT-2316810,4.84
OADMET-0005844,OCNT-2316807,4.25
OADMET-0005843,OCNT-2316803,4.74
OADMET-0005842,OCNT-2316795,5.12
OADMET-0005841,OCNT-2316794,4.87
OADMET-0005840,OCNT-2316782,4.81
OADMET-0005839,OCNT-2316772,5.06
OADMET-0005838,OCNT-2316767,5.23
OADMET-0005837,OCNT-2316753,4.5
OADMET-0005836,OCNT-2316749,4.83
OADMET-0005835,OCNT-2316748,3.63
OADMET-0005834,OCNT-2316740,4.52
OADMET-0005833,OCNT-2316733,4.66
OADMET-0005832,OCNT-2316730,5.07
OADMET-0005831,OCNT-2316723,3.9
OADMET-0005830,OCNT-2316722,3.93
OADMET-0005829,OCNT-2316695,5.38
OADMET-0005828,OCNT-2316678,4.67
OADMET-0005827,OCNT-2316674,4.69
OADMET-0005826,OCNT-2316666,5.19
OADMET-0005825,OCNT-2316651,4.41
OADMET-0005824,OCNT-2316650,4.44
OADMET-0005823,OCNT-2316646,5.63
OADMET-0005822,OCNT-2316644,4.65
OADMET-0005821,OCNT-2316635,5.23
OADMET-0005820,OCNT-2316634,4.47
OADMET-0005819,OCNT-2316631,4.99
OADMET-0005818,OCNT-2316614,4.92
OADMET-0005817,OCNT-2316613,4.66
OADMET-0005816,OCNT-2316609,4.4
OADMET-0005815,OCNT-2316607,4.9
OADMET-0005814,OCNT-2316572,4.58
OADMET-0005813,OCNT-2316566,4.13
OADMET-0005812,OCNT-2316563,4.69
OADMET-0005811,OCNT-2316559,5.22
OADMET-0005810,OCNT-2316549,4.75
OADMET-0005809,OCNT-2316536,5.62
OADMET-0005808,OCNT-2316531,5.32
OADMET-0005807,OCNT-2316501,5.56
OADMET-0005806,OCNT-2316500,5.22
OADMET-0005805,OCNT-2316494,4.91
OADMET-0005804,OCNT-2316485,5.57
OADMET-0005803,OCNT-2316463,5.15
OADMET-0005802,OCNT-2316460,4.53
OADMET-0005801,OCNT-2316456,4.5
OADMET-0005800,OCNT-2316444,5.05
OADMET-0005799,OCNT-2316440,3.56
OADMET-0005798,OCNT-2316417,4.82
OADMET-0005797,OCNT-2316410,4.85
OADMET-0005796,OCNT-2316408,4.63
OADMET-0005795,OCNT-2316407,4.68
OADMET-0005794,OCNT-2316396,4.71
OADMET-0005793,OCNT-2316395,4.25
OADMET-0005792,OCNT-2316394,4.58
OADMET-0005791,OCNT-2316389,4.63
OADMET-0005790,OCNT-2316386,4.57
OADMET-0005789,OCNT-2316383,4.36
OADMET-0005788,OCNT-2316378,6.23
OADMET-0005787,OCNT-2316366,4.67
OADMET-0005786,OCNT-2316365,5.05
OADMET-0005785,OCNT-2316360,4.57
OADMET-0005784,OCNT-2316356,4.84
OADMET-0005783,OCNT-2316349,5.22
OADMET-0005782,OCNT-2316345,4.83
OADMET-0005781,OCNT-2316338,4.85
OADMET-0005780,OCNT-2316334,4.03
OADMET-0005779,OCNT-2316328,5.11
OADMET-0005778,OCNT-2316326,4.53
OADMET-0005777,OCNT-2316324,4.72
OADMET-0005776,OCNT-2316321,4.99
OADMET-0005775,OCNT-2316316,4.78
OADMET-0005774,OCNT-2316315,5.05
OADMET-0005773,OCNT-2316313,4.38
OADMET-0005772,OCNT-2316310,4.78
OADMET-0005771,OCNT-2316293,5.46
OADMET-0005770,OCNT-2316292,4.85
OADMET-0005769,OCNT-2316290,4.78
OADMET-0005768,OCNT-2316289,4.86
OADMET-0005767,OCNT-2316264,4.28
OADMET-0005766,OCNT-2316255,4.75
OADMET-0005765,OCNT-2316252,4.16
OADMET-0005764,OCNT-2316246,4.65
OADMET-0005763,OCNT-2316237,4.21
OADMET-0005762,OCNT-2316219,4.79
OADMET-0005761,OCNT-2316215,4.4
OADMET-0005760,OCNT-2316213,5.24
OADMET-0005759,OCNT-2316209,4.14
OADMET-0005758,OCNT-2316204,4.29
OADMET-0005757,OCNT-2316200,4.52
OADMET-0005756,OCNT-2316189,4.54
OADMET-0005755,OCNT-2316185,4.69
OADMET-0005754,OCNT-2316178,4.6
OADMET-0005753,OCNT-2316175,4.29
OADMET-0005752,OCNT-2316162,4.62
OADMET-0005751,OCNT-2316161,4.28
OADMET-0005750,OCNT-2316159,4.44
OADMET-0005749,OCNT-2316158,4.3
OADMET-0005748,OCNT-2316155,4.74
OADMET-0005747,OCNT-2316139,5.58
OADMET-0005746,OCNT-2316136,5.46
OADMET-0005745,OCNT-2316129,4.82
OADMET-0005744,OCNT-2316123,4.78
OADMET-0005743,OCNT-2316111,4.61
OADMET-0005742,OCNT-2316099,4.06
OADMET-0005741,OCNT-2316089,4.59
OADMET-0005740,OCNT-2316084,4.81
OADMET-0005739,OCNT-2316079,4.46
OADMET-0005738,OCNT-2316074,4.3
OADMET-0005737,OCNT-2316051,4.67
OADMET-0005736,OCNT-2316048,5.46
OADMET-0005735,OCNT-2316046,5.09
OADMET-0005734,OCNT-2316043,4.85
OADMET-0005733,OCNT-2316034,5.22
OADMET-0005732,OCNT-2316033,5.12
OADMET-0005731,OCNT-2316031,5.11
OADMET-0005730,OCNT-2316023,4.59
OADMET-0005729,OCNT-2316021,4.23
OADMET-0005728,OCNT-2316016,4.9
OADMET-0005727,OCNT-2316014,5.12
OADMET-0005726,OCNT-2316012,4.83
OADMET-0005725,OCNT-2316009,4.8
OADMET-0005724,OCNT-2316007,4.84
OADMET-0005723,OCNT-2316005,4.17
OADMET-0005722,OCNT-2315980,4.2
OADMET-0005721,OCNT-2315968,5.02
OADMET-0005720,OCNT-2315966,5.0
OADMET-0005719,OCNT-2315943,4.86
OADMET-0005718,OCNT-2315929,4.73
OADMET-0005717,OCNT-2315913,4.33
OADMET-0005716,OCNT-2315891,4.51
OADMET-0005715,OCNT-2315880,4.82
OADMET-0005714,OCNT-2315868,4.96
OADMET-0005713,OCNT-2315864,4.39
OADMET-0005712,OCNT-2315844,4.49
OADMET-0005711,OCNT-2315834,4.34
OADMET-0005710,OCNT-2315814,4.16
OADMET-0005709,OCNT-2315812,4.95
OADMET-0005708,OCNT-2315810,4.83
OADMET-0005707,OCNT-2315806,4.3
OADMET-0005706,OCNT-2315799,4.86
OADMET-0005705,OCNT-2315797,4.52
OADMET-0005704,OCNT-2315794,4.68
OADMET-0005703,OCNT-2315791,4.97
OADMET-0005702,OCNT-2315778,5.22
OADMET-0005701,OCNT-2315773,4.97
OADMET-0005700,OCNT-2315760,4.04
OADMET-0005699,OCNT-2315759,4.95
OADMET-0005698,OCNT-2315750,4.41
OADMET-0005697,OCNT-2315749,4.9
OADMET-0005696,OCNT-2315739,4.22
OADMET-0005695,OCNT-2315734,3.94
OADMET-0005694,OCNT-2315728,4.96
OADMET-0005693,OCNT-2315727,4.82
OADMET-0005692,OCNT-2315726,4.9
OADMET-0005691,OCNT-2315716,4.25
OADMET-0005690,OCNT-2315710,4.7
OADMET-0005689,OCNT-2315701,5.05
OADMET-0005688,OCNT-2315690,4.59
OADMET-0005687,OCNT-2315685,5.04
OADMET-0005686,OCNT-2315682,5.1
OADMET-0005685,OCNT-2315669,4.22
OADMET-0005684,OCNT-2315662,4.67
OADMET-0005683,OCNT-2315659,4.77
OADMET-0005682,OCNT-2315642,4.9
OADMET-0005681,OCNT-2315634,5.17
OADMET-0005680,OCNT-2315632,4.27
OADMET-0005679,OCNT-2315616,4.4
OADMET-0005678,OCNT-2315615,5.14
OADMET-0005677,OCNT-2315603,5.13
OADMET-0005676,OCNT-2315590,5.66
OADMET-0005675,OCNT-2315588,4.41
OADMET-0005674,OCNT-2315585,5.2
OADMET-0005673,OCNT-2315579,4.39
OADMET-0005672,OCNT-2315567,4.92
OADMET-0005671,OCNT-2315563,4.94
OADMET-0005670,OCNT-2315559,4.6
OADMET-0005669,OCNT-2315553,4.68
OADMET-0005668,OCNT-2315551,5.27
OADMET-0005667,OCNT-2315542,5.14
OADMET-0005666,OCNT-2315540,5.25
OADMET-0005665,OCNT-2315538,4.39
OADMET-0005664,OCNT-2315536,5.28
OADMET-0005663,OCNT-2315534,4.85
OADMET-0005662,OCNT-2315511,4.28
OADMET-0005661,OCNT-2315509,5.08
OADMET-0005660,OCNT-2315501,4.75
OADMET-0005659,OCNT-2315497,5.12
OADMET-0005658,OCNT-2315478,4.51
OADMET-0005657,OCNT-2315477,4.63
OADMET-0005656,OCNT-2315476,4.89
OADMET-0005655,OCNT-2315469,5.2
OADMET-0005654,OCNT-2315465,5.16
OADMET-0005653,OCNT-2315463,5.41
OADMET-0005652,OCNT-2315458,4.45
OADMET-0005651,OCNT-2315452,4.09
OADMET-0005650,OCNT-2315445,4.27
OADMET-0005649,OCNT-2315437,4.79
OADMET-0005648,OCNT-2315431,4.53
OADMET-0005647,OCNT-2315429,4.53
OADMET-0005646,OCNT-2315420,4.64
OADMET-0005645,OCNT-2315411,4.65
OADMET-0005644,OCNT-2315392,5.1
OADMET-0005643,OCNT-2315387,4.29
OADMET-0005642,OCNT-2315385,5.14
OADMET-0005641,OCNT-2315381,5.1
OADMET-0005640,OCNT-2315377,4.67
OADMET-0005639,OCNT-2315370,4.8
OADMET-0005638,OCNT-2315359,4.84
OADMET-0005637,OCNT-2315345,4.09
OADMET-0005636,OCNT-2315339,5.12
OADMET-0005635,OCNT-2315338,4.89
OADMET-0005634,OCNT-2315334,4.09
OADMET-0005633,OCNT-2315333,4.43
OADMET-0005632,OCNT-2315331,5.1
OADMET-0005631,OCNT-2315326,4.35
OADMET-0005630,OCNT-2315324,4.63
OADMET-0005629,OCNT-2315318,4.73
OADMET-0005628,OCNT-2315317,5.27
OADMET-0005627,OCNT-2315313,4.68
OADMET-0005626,OCNT-2315307,3.51
OADMET-0005625,OCNT-2315303,4.57
OADMET-0005624,OCNT-2315297,4.16
OADMET-0005623,OCNT-2315290,4.87
OADMET-0005622,OCNT-2315284,5.15
OADMET-0005621,OCNT-2315276,4.95
OADMET-0005620,OCNT-2315271,4.67
OADMET-0005619,OCNT-2315270,5.05
OADMET-0005618,OCNT-2315263,4.96
OADMET-0005617,OCNT-2315257,4.87
OADMET-0005616,OCNT-2315247,4.54
OADMET-0005615,OCNT-2315234,4.93
OADMET-0005614,OCNT-2315229,5.32
OADMET-0005613,OCNT-2315205,5.04
OADMET-0005612,OCNT-2315196,4.53
OADMET-0005611,OCNT-2315195,4.85
OADMET-0005610,OCNT-2315189,4.85
OADMET-0005609,OCNT-2315185,4.15
OADMET-0005608,OCNT-2315170,4.53
OADMET-0005607,OCNT-2315166,4.73
OADMET-0005606,OCNT-2315147,4.59
OADMET-0005605,OCNT-2315142,4.91
OADMET-0005604,OCNT-2315141,3.91
OADMET-0005603,OCNT-2315140,4.29
OADMET-0005602,OCNT-2315139,4.47
OADMET-0005601,OCNT-2315138,4.87
OADMET-0005600,OCNT-2315133,4.73
OADMET-0005599,OCNT-2315132,4.43
OADMET-0005598,OCNT-2315131,4.92
OADMET-0005597,OCNT-2315126,4.77
OADMET-0005596,OCNT-2315122,4.79
OADMET-0005595,OCNT-2315114,4.93
OADMET-0005594,OCNT-2315110,4.24
OADMET-0005593,OCNT-2315103,4.74
OADMET-0005592,OCNT-2315096,4.65
OADMET-0005591,OCNT-2315083,4.9
OADMET-0005590,OCNT-2315065,4.63
OADMET-0005589,OCNT-2315059,5.16
OADMET-0005588,OCNT-2315057,4.45
OADMET-0005587,OCNT-2315056,4.26
OADMET-0005586,OCNT-2315048,4.68
OADMET-0005585,OCNT-2315046,5.04
OADMET-0005584,OCNT-2315039,4.05
OADMET-0005583,OCNT-2315027,4.27
OADMET-0005582,OCNT-2315023,4.85
OADMET-0005581,OCNT-2315019,4.66
OADMET-0005580,OCNT-2315016,4.11
OADMET-0005579,OCNT-2315008,4.85
OADMET-0005578,OCNT-2315004,4.77
OADMET-0005577,OCNT-2314966,4.9
OADMET-0005576,OCNT-2314963,4.12
OADMET-0005575,OCNT-2314945,4.82
OADMET-0005574,OCNT-2314930,5.28
OADMET-0005573,OCNT-2314924,4.73
OADMET-0005572,OCNT-2314906,4.77
OADMET-0005571,OCNT-2314892,4.75
OADMET-0005570,OCNT-2314885,5.08
OADMET-0005569,OCNT-2314881,4.68
OADMET-0005568,OCNT-2314880,4.35
OADMET-0005567,OCNT-2314877,5.12
OADMET-0005566,OCNT-2314875,5.31
OADMET-0005565,OCNT-2314859,5.28
OADMET-0005564,OCNT-2314853,4.88
OADMET-0005563,OCNT-2314846,5.18
OADMET-0005562,OCNT-2314838,5.03
OADMET-0005561,OCNT-2314829,4.59
OADMET-0005560,OCNT-2314805,4.8
OADMET-0005559,OCNT-2314801,4.96
OADMET-0005558,OCNT-2314783,4.61
OADMET-0005557,OCNT-2314780,5.13
OADMET-0005556,OCNT-2314774,5.22
OADMET-0005555,OCNT-2314770,4.53
OADMET-0005554,OCNT-2314767,4.58
OADMET-0005553,OCNT-2314759,4.79
OADMET-0005552,OCNT-2314735,5.14
OADMET-0005551,OCNT-2314734,5.3
OADMET-0005550,OCNT-2314718,5.0
OADMET-0005549,OCNT-2314714,5.09
OADMET-0005548,OCNT-2314711,4.83
OADMET-0005547,OCNT-2314708,5.37
OADMET-0005546,OCNT-2314706,4.93
OADMET-0005545,OCNT-2314703,5.43
OADMET-0005544,OCNT-2314702,4.8
OADMET-0005543,OCNT-2314675,5.1
OADMET-0005542,OCNT-2314671,5.28
OADMET-0005541,OCNT-2314663,4.68
OADMET-0005540,OCNT-2314662,4.63
OADMET-0005539,OCNT-2314661,4.82
OADMET-0005538,OCNT-2314657,4.43
OADMET-0005537,OCNT-2314650,5.19
OADMET-0005536,OCNT-2314649,4.49
OADMET-0005535,OCNT-2314645,5.23
OADMET-0005534,OCNT-2314636,5.49
OADMET-0005533,OCNT-2314628,4.21
OADMET-0005532,OCNT-2314623,5.22
OADMET-0005531,OCNT-2314598,4.4
OADMET-0005530,OCNT-2314589,4.88
OADMET-0005529,OCNT-2314585,5.3
OADMET-0005528,OCNT-2314581,3.86
OADMET-0005527,OCNT-2314578,4.09
OADMET-0005526,OCNT-2314577,5.07
OADMET-0005525,OCNT-2314562,5.54
OADMET-0005524,OCNT-2314546,5.3
OADMET-0005523,OCNT-2314534,4.43
OADMET-0005522,OCNT-2314513,5.37
OADMET-0005521,OCNT-2314511,4.49
OADMET-0005520,OCNT-2314499,4.29
OADMET-0005519,OCNT-2314481,4.81
OADMET-0005518,OCNT-2314441,5.39
OADMET-0005517,OCNT-2314434,4.92
OADMET-0005516,OCNT-2314433,4.46
OADMET-0005515,OCNT-2314416,5.1
OADMET-0005514,OCNT-2314415,4.7
OADMET-0005513,OCNT-2314413,5.2
OADMET-0005512,OCNT-2314401,5.01
OADMET-0005511,OCNT-2314400,4.73
OADMET-0005510,OCNT-2314393,4.99
OADMET-0005509,OCNT-2314392,5.68
OADMET-0005508,OCNT-2314389,5.34
OADMET-0005507,OCNT-2314371,5.31
OADMET-0005506,OCNT-2314358,5.18
OADMET-0005505,OCNT-2314357,4.48
OADMET-0005504,OCNT-2314355,4.77
OADMET-0005503,OCNT-2314351,4.95
OADMET-0005502,OCNT-2314344,4.87
OADMET-0005501,OCNT-2314339,5.29
OADMET-0005500,OCNT-2314337,4.64
OADMET-0005499,OCNT-2314322,5.17
OADMET-0005498,OCNT-2314308,3.8
OADMET-0005497,OCNT-2314295,4.9
OADMET-0005496,OCNT-2314293,5.08
OADMET-0005495,OCNT-2314280,5.03
OADMET-0005494,OCNT-2314276,5.36
OADMET-0005493,OCNT-2314271,5.13
OADMET-0005492,OCNT-2314261,5.35
OADMET-0005491,OCNT-2314260,4.84
OADMET-0005490,OCNT-2314257,4.96
OADMET-0005489,OCNT-2314255,4.94
OADMET-0005488,OCNT-2314254,5.04
OADMET-0005487,OCNT-2314242,4.78
OADMET-0005486,OCNT-2314239,4.93
OADMET-0005485,OCNT-2314233,4.61
OADMET-0005484,OCNT-2314230,4.93
OADMET-0005483,OCNT-2314194,5.17
OADMET-0005482,OCNT-2314185,4.99
OADMET-0005481,OCNT-2314183,4.96
OADMET-0005480,OCNT-2314177,5.11
OADMET-0005479,OCNT-2314166,4.7
OADMET-0005478,OCNT-2314157,5.06
OADMET-0005477,OCNT-2314153,4.5
OADMET-0005476,OCNT-2314148,5.3
OADMET-0005475,OCNT-2314142,4.85
OADMET-0005474,OCNT-2314134,5.27
OADMET-0005473,OCNT-2314131,4.33
OADMET-0005472,OCNT-2314115,4.92
OADMET-0005471,OCNT-2314114,5.32
OADMET-0005470,OCNT-2314089,4.23
OADMET-0005469,OCNT-2314088,4.87
OADMET-0005468,OCNT-2314074,4.38
OADMET-0005467,OCNT-2314068,5.22
OADMET-0005466,OCNT-2314065,4.43
OADMET-0005465,OCNT-2314054,5.19
OADMET-0005464,OCNT-2314051,4.81
OADMET-0005463,OCNT-2314037,5.34
OADMET-0005462,OCNT-2314026,4.86
OADMET-0005461,OCNT-2314016,5.23
OADMET-0005460,OCNT-2314001,5.15
OADMET-0005459,OCNT-2313999,4.72
OADMET-0005458,OCNT-2313997,4.75
OADMET-0005457,OCNT-2313994,4.59
OADMET-0005456,OCNT-2313993,5.22
