Drug or Other Substance,CYP Strg INH,CYP Mod INH,CYP WK INH,CYP Strg IND,CYP Mod IND,CYP WK IND,CYP SENS SUB,CYP Mod SENS SUB,TRNSP INH,TRNSP SUB
imipramine,,,,,,,,2D6 moderate sensitive substrate,,
indinavir6,,,,,,,3A sensitive substrate,,,
indinavir and ritonavir,3A strong inhibitor,,,,,,,,,
isavuconazole,,3A moderate inhibitor,,,,2B6 weak inducer,3A sensitive substrate,,OCT2; MATE1; MATE2-K inhibitor,
istradefylline,,,3A weak inhibitor,,,,,,,
itraconazole,3A strong inhibitor,,,,,,,,P-gp inhibitor,
ivabradine,,,,,,,3A sensitive substrate,,,
ivacaftor,,,3A weak inhibitor,,,,,,,
ivosidenib10,,,,3A strong inducer,,,,,,
ketoconazole,3A strong inhibitor,,,,,,,,P-gp inhibitor,
labetalol,,,2D6 weak inhibitor,,,,,,,
lansoprazole11,,,,,,,,2C19 moderate sensitive substrate,,
lapatinib,,,,,,,,,P-gp inhibitor,
Larotrectinib,,,3A weak inhibitor,,,,,3A moderately sensitive substrate,,
Lazertinib,,,3A weak inhibitor,,,,,,BCRP inhibitor,
lemborexant,,,,,,2B6 weak inducer,3A sensitive substrate,,,
leniolisib,,,,,,,,3A moderately sensitive substrate,BCRP; OATP1B inhibitor,
lomitapide,,,3A weak inhibitor,,,,3A sensitive substrate,,,
Loperamide,,,,,,,,2C8 and 3A moderately sensitive substrate,,P-gp transporter substrate
lopinavir and ritonavir,3A strong inhibitor,,,,,,,,P-gp; OATP1B1; OATP1B3 inhibitor,
lorcaserin,,2D6 moderate inhibitor,,,,,,,,
lorlatinib,,,,,3A moderate inducer,2B6; 2C9 weak inducer,,,,
lovastatin,,,,,,,3A sensitive substrate,,,OATP1B1 substrate
lumacaftor and ivacaftor,,,,3A strong inducer,,,,,,
lurasidone,,,,,,,3A sensitive substrate,,,
maraviroc,,,,,,,3A sensitive substrate,,,
melatonin,,,,,,,1A2 sensitive substrate,,,
metformin,,,,,,,,,,MATE1; MATE2-K; OCT2 substrate
methotrexate,,,,,,,,,,OAT3 substrate
methoxsalen,,1A2 moderate inhibitor,,,,,,,,
metoprolol,,,,,,,,2D6 moderate sensitive substrate,,
mexiletine,,1A2 moderate inhibitor,,,,,,,,
miconazole,,2C9 moderate inhibitor,,,,,,,,
midazolam,,,,,,,3A sensitive substrate,,,
mirabegron,,2D6 moderate inhibitor,,,,,,,,
mitotane,,,,3A strong inducer,,,,,,
mobocertinib,,,,,,3A weak inducer,3A sensitive substrate,,,
modafinil12,,,,,,3A weak inducer,,,,
momelotinib,,,,,,,,,BCRP inhibitor,
montelukast,,,,,,,,2C8 moderate sensitive substrate,,
naloxegol,,,,,,,3A sensitive substrate,,,
nebivolol,,,,,,,2D6 sensitive substrate,,,
nefazodone,3A strong inhibitor,,,,,,,,,
nelfinavir,3A strong inhibitor,,,,,,,,,
nevirapine,,,,,,2B6 weak inducer,,,,
nisoldipine,,,,,,,3A sensitive substrate,,,
nortriptyline,,,,,,,,2D6 moderate sensitive substrate,,
omeprazole,,,2C19 weak inhibitor,,,,2C19 sensitive substrate,,,
oral contraceptives,,1A2 moderate inhibitor,,,,,,,,
oseltamivir carboxylate1,,,,,,,,,,OAT3 substrate
oteseconazole,,,,,,,,,BCRP inhibitor,
paclitaxel,,,,,,,,,,OATP1B1; OATP1B3 substrate
paritaprevir and ritonavir and (ombitasvir and/or dasabuvir),3A strong inhibitor,,,,,,,,,
paroxetine,2D6 strong inhibitor,,,,,,,,,
peginterferon alpha-2a,,,1A2 weak inhibitor,,,,,,,
penicillin G,,,,,,,,,,OAT3 substrate
perphenazine,,,,,,,2D6 sensitive substrate,,,
pexidartinib,,,,,3A moderate inducer,,,,,
phenobarbital,,,,,3A moderate inducer,,,,,
phenytoin,,,,3A strong inducer,1A2; 2C19 moderate inducer,,,2C9 moderate sensitive substrate,,
pimozide,,,,,,,,2D6 and 3A moderately sensitive substrate,,
pioglitazone,,,,,,,,2C8 moderate sensitive substrate,,
piperine,,2C9 moderate inhibitor,1A2 weak inhibitor,,,,,,,
pirfenidone,,,,,,,,1A2 moderate sensitive substrate,,
Pirtobrutinib,,2C8 moderate inhibitor,3A and 2C19 weak inhibitor,,,,,,BCRP and P-gp transporters inhibitor,
pitavastatin,,,,,,,,,,OATP1B1; OATP1B3 substrate
posaconazole,3A strong inhibitor,,,,,,,,,
Pralsetinib,,,,,,,,3A moderately sensitive substrate,,
pravastatin,,,,,,,,,,OATP1B1; OATP1B3 substrate
primidone,,,,,3A moderate inducer,,,,,
probenecid,,,,,,,,,OAT1; OAT3 inhibitor,
propafenone,,,,,,,,2D6 moderate sensitive substrate,P-gp inhibitor,
propranolol,,,,,,,,2D6 moderate sensitive substrate,,
pyrimethamine,,,,,,,,,MATE1; MATE2-K inhibitor,
quetiapine,,,,,,,3A sensitive substrate,,,
quinidine,2D6 strong inhibitor,,,,,,,,P-gp inhibitor,
R-venlafaxine,,,,,,,2D6 sensitive substrate,,,
rabeprazole,,,,,,,,2C19 moderate sensitive substrate,,
ramelteon,,,,,,,1A2 sensitive substrate,,,
ranitidine,,,3A weak inhibitor,,,,,,,
ranolazine,,,3A weak inhibitor,,,,,,P-gp ; OCT2; MATE1; MATE2-K inhibitor,
repaglinide,,,,,,,2C8 sensitive substrate,,,OATP1B1; OATP1B3 substrate
resmetirom,,,2C8 weak inhibitor,,,,,2C8 moderately sensitive substrate,BCRP and OATP1B transporters inhibitor,OATP1B transporter substrate
Repotrectinib,,,,,3A moderate inducer,,3A sensitive substrate,,,
rifampin,,,,3A; 2C19 strong inducer,"1A2, 2B6; 2C8; 2C9 moderate inducer",,,,OATP1B113; OATP1B313 inhibitor,
rilpivirine,,,,,,,,3A moderate sensitive substrate,,
"ritonavir 14, 15, 16",3A strong inhibitor,,,,,2B6; 2C9; 2C19 weak inducer,,,,
rivaroxaban,,,,,,,,3A moderate sensitive substrate,,
rolapitant17,,2D6 moderate inhibitor,,,,,,,P-gp; BCRP inhibitor,
rosiglitazone,,,,,,,,2C8 moderate sensitive substrate,,
rosuvastatin,,,,,,,,,,BCRP; OATP1B1; OATP1B3 substrate
rufinamide,,,,,,3A weak inducer,,,,
S-mephenytoin,,,,,,,2C19 sensitive substrate,,,
S-venlafaxine,,,,,,,,2D6 moderate sensitive substrate,,
saquinavir6,,,,,,,3A sensitive substrate,,,
saquinavir and ritonavir,3A strong inhibitor,,,,,,,,P-gp inhibitor,
selexipag 21,,,,,,,2C8 sensitive substrate,,,
Selpercatinib,,2C8 moderate inhibitor,3A weak inhibitor,,,,,3A moderately sensitive substrate,,
sertraline,,,2D6 weak inhibitor,,,,,,,
sevabertinib,,,3A weak inhibitor,,,,,3A moderately sensitive substrate,,
sildenafil,,,,,,,3A sensitive substrate,,,
simvastatin,,,,,,,3A sensitive substrate,,,OATP1B1; OATP1B3 substrate
sirolimus,,,,,,,3A sensitive substrate,,,
Sofosbuvir and Velpatasvir and Voxilaprevir,,,,,,,,,P-gp; BCRP; OATP1B1; OATP1B3 inhibitor,
sotorasib,,,,,3A moderate inducer,,,,,
St. John’s wort18,,,,3A strong inducer,,,,,,
sulfasalazine,,,,,,,,,,BCRP substrate
tacrolimus,,,,,,,3A sensitive substrate,,,
tadalafil,,,,,,,,3A moderate sensitive substrate,,
taletrectinib,,,,,,,,3A moderately sensitive substrate,,
tasimelteon,,,,,,,1A2 sensitive substrate,,,
Tazemetostat,,,2C8 weak inhibitor,,,3A weak inducer,,3A moderately sensitive substrate,,
telithromycin,3A strong inhibitor,,,,,,,,,
tenofovir1,,,2B6 weak inhibitor,,,,,,,OAT1 substrate
terbinafine,2D6 strong inhibitor,,,,,,,,,
teriflunomide,,2C8 moderate inhibitor,,,1A2 moderate inducer,,,,BCRP; OATP1B1 inhibitor; OAT3 inhibitor,
theophylline,,,,,,,,1A2 moderate sensitive substrate,,
ticagrelor,,,3A weak inhibitor,,,,3A sensitive substrate,,BCRP inhibitor,
ticlopidine,2C19 strong inhibitor,,2B6 weak inhibitor,,,,,,,
tipranavir6,,,,,,,3A sensitive substrate,,,
tipranavir and ritonavir,3A strong inhibitor,,,,,,,,,
tizanidine,,,,,,,1A2 sensitive substrate,,,
tobacco (smoking),,,,,1A2 moderate inducer,,,,,
tolbutamide,,,,,,,,2C9 moderate sensitive substrate,,
tolterodine,,,,,,,2D6 sensitive substrate,,,
tolvaptan,,,,,,,3A sensitive substrate,,,
tramadol,,,,,,,,2D6 moderate sensitive substrate,,
triazolam,,,,,,,3A sensitive substrate,,,
trimethoprim,,,2C8 weak inhibitor,,,,,,MATE1; MATE2-K inhibitor,
trimipramine,,,,,,,,2D6 moderate sensitive substrate,,
tucatinib,3A strong inhibitor,,2C8 weak inhibitor,,,,,2C8 moderately sensitive substrate,P-gp transporter inhibitor,
vadadustat,,,,,,,,,BCRP; OAT3 inhibitor,
vandetanib,,,,,,,,,MATE1; MATE2-K inhibitor,
vardenafil,,,,,,,3A sensitive substrate,,,
vemurafenib,,1A2 moderate inhibitor,2D6 weak inhibitor,,,3A weak inducer,,,,
venetoclax,,,,,,,3A sensitive substrate,,,
verapamil,,3A moderate inhibitor,,,,,,,P-gp inhibitor,
voriconazole,3A strong inhibitor,2C19 moderate inhibitor,2B6; 2C9; weak inhibitor,,,,,2C19 moderate sensitive substrate,,
warfarin19,,,,,,,,2C9 moderate sensitive substrate,,
zanubrutinib,,,,,,3A and 2C19 weak inducer,,3A moderately sensitive substrate,,
zileuton,,,1A2 weak inhibitor,,,,,,,
zongertinib,,,,,,,,,BCRP inhibitor,
